name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-23T00:00:00,58,58,41,53.18,0,,,0,0,17.2,6.4,311,1007.3,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T01:00:00,57,57,41,54.98,0,,,0,0,,8.4,300,1007.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T02:00:00,56.1,56.1,40,54.53,0,,,0,0,,7.2,282,1007.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T03:00:00,56,56,39.8,54.45,0,,,0,0,,7.1,282,1006.8,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T04:00:00,55.2,55.2,40.9,58.41,0,,,0,0,18.3,7.4,273,1007,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T05:00:00,54.1,54.1,41,61.18,0,,,0,0,,7.2,271,1007.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T06:00:00,53.1,53.1,42,66.13,0,,,0,0,,5.9,244,1007.2,0,9.9,,,0,,Clear,clear-night,"KLWM,KBVY,74490494723,72508854733"
Andover MA,2020-09-23T07:00:00,50.3,50.3,41.8,72.61,0,,,0,0,,6.2,229,1007.5,0,9.9,16,0.1,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T08:00:00,55,55,43.6,65.5,0,,,0,0,,6.8,236,1007.5,0,9.9,49,0.2,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T09:00:00,59.8,59.8,44.6,57.06,0,,,0,0,18.3,7.4,254,1007.4,0,9.9,241,0.9,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T10:00:00,64.6,64.6,47.4,53.55,0,,,0,0,19.7,9.3,266,1007.4,0,9.9,465,1.7,5,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T11:00:00,69.3,69.3,48.5,47.55,0,,,0,0,20.8,8.9,291,1007,0,9.9,594,2.1,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T12:00:00,72.3,72.3,49.8,45.07,0,,,0,0,18.5,11.3,291,1006.6,0,9.9,666,2.4,7,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T13:00:00,75.3,75.3,51,42.59,0,,,0,0,21.3,14,291,1006.3,0,9.9,693,2.5,7,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T14:00:00,77.3,77.3,51.1,39.87,0,,,0,0,24.6,13,306,1006,1.8,9.9,672,2.4,7,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T15:00:00,78.3,78.3,51.8,39.7,0,,,0,0,22.4,12.6,283,1005.9,43.6,9.9,432,1.6,4,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T16:00:00,78.3,78.3,51.8,39.77,0,,,0,0,23.8,11.8,301,1005.9,85.3,9.9,266,1,3,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T17:00:00,75.9,75.9,51.8,42.94,0,,,0,0,21.5,11.5,303,1006.5,37.8,9.9,201,0.7,2,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T18:00:00,74.2,74.2,50.1,42.74,0,,,0,0,24.2,13.5,318,1007.3,29,9.9,36,0.1,0,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T19:00:00,70.9,70.9,50.9,49.15,0,,,0,0,,5.7,303,1008.6,0,9.9,11,0,0,,Clear,clear-night,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T20:00:00,68.5,68.5,51,53.5,0,,,0,0,,3.3,291,1009.5,27.6,9.9,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T21:00:00,63.1,63.1,51.8,66.59,0,,,0,0,,3.3,248,1009.8,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T22:00:00,60.1,60.1,51.8,74.22,0,,,0,0,,3.3,220,1010.2,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-23T23:00:00,60.4,60.4,51.2,71.82,0,,,0,0,,4.8,202,1010.8,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T00:00:00,59.4,59.4,51.4,74.78,0,,,0,0,,4,210,1011.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T01:00:00,57.5,57.5,52.3,82.75,0,,,0,0,,1,332,1011.2,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T02:00:00,59,59,53.1,80.57,0,,,0,0,,3.8,202,1011.2,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T03:00:00,57.8,57.8,53.8,86.33,0,,,0,0,,4.6,213,1011.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T04:00:00,57,57,52.9,86.18,0,,,0,0,,4.4,222,1011.5,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T05:00:00,56,56,52.8,88.92,0,,,0,0,,4.4,223,1012.1,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T06:00:00,54.1,54.1,51.7,91.79,0,,,0,0,,3.4,212,1012.6,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T07:00:00,53.6,53.6,51.6,92.84,0,,,0,0,,5.2,217,1013.3,0,9.7,16,0.1,0,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T08:00:00,57.8,57.8,52.9,83.74,0,,,0,0,,3.1,220,1013.5,0,9.9,55,0.2,1,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T09:00:00,63.3,63.3,55,74.33,0,,,0,0,,5.6,224,1014.1,0,9.9,247,0.9,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T10:00:00,69.4,69.4,55.8,62.12,0,,,0,0,,5.9,236,1014.6,0,9.9,433,1.6,4,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T11:00:00,73.3,73.3,55.8,54.38,0,,,0,0,,6.6,230,1014.5,0,9.9,573,2.1,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T12:00:00,75.1,75.1,53.6,47.13,0,,,0,0,,7.1,239,1014.1,0,9.9,617,2.2,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T13:00:00,77.2,77.2,52.9,42.87,0,,,0,0,,9.4,244,1014,0,9.9,616,2.2,6,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-24T14:00:00,78.3,78.3,51.8,39.75,0,,,0,0,,9,251,1013.3,0,9.9,490,1.8,5,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
